0.147,0.093293,0.10748,0.10942,0,0.19629,0,0.34652,0,0,0,0
0.37352,0.014365,0.055585,0.12407,0.16163,0.11409,0,0,0,0,0.15674,0
0.15755,0,0.19729,0,0.11338,0.1619,0.21233,0,0,0.15755,0,0
0.58182,0.18938,0,0.11101,0,0,0.1178,0,0,0,0,0
0.34704,0.48339,0,0,0.048242,0,0.12133,0,0,0,0,0
0.050945,0.20315,0.17325,0,0,0.10912,0,0.46353,0,0,0,0
0.20082,0.10501,0.086882,0.12333,0,0.18429,0.14984,0,0.14984,0,0,0
0.18109,0.18996,0.14284,0.14284,0,0,0,0,0,0.2399,0,0.10337
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.13877,0,0.099124,0.18295,0.49526,0,0,0,0.083897,0
